id,name,instructions,category,image_url,glass,is_popular
130,Godchild,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,Champagne flute,false
131,Gin Fizz,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",Cocktail,https://usgsomofsav4obpi.public.blob.vercel-storage.com/Gin%20Fizz%20cocktail.png,Highball glass,true
132,Gin Sour,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Cocktail,https://www.thecocktaildb.com/images/media/drink/noxp7e1606769224.jpg,Whiskey sour glass,false
133,Gagliardo,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",Cocktail,https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,Cocktail glass,false
134,Godmother,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,Cocktail,https://www.thecocktaildb.com/images/media/drink/quksqg1582582597.jpg,Old-fashioned glass,false
135,Godfather,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Cocktail,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg,Old-fashioned glass,false
136,Gluehwein,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",Punch,https://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Irish Coffee Cup,false
137,Gin Tonic,"Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",Cocktail,https://www.thecocktaildb.com/images/media/drink/qcgz0t1643821443.jpg,Highball glass,false
138,Gin Toddy,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg,Old-fashioned glass,false
139,Gin Smash,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,Old-fashioned glass,false
140,Gin Daisy,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",Cocktail,https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg,Old-fashioned glass,false
141,Gin Lemon,"For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.",Cocktail,https://www.thecocktaildb.com/images/media/drink/6gdohq1681212476.jpg,Highball glass,false
142,Gin Sling,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,Cocktail,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg,Old-fashioned glass,false
